Plate No,Route,Source,Destination,Current Lat,Current Long,Next Waypoint 1,Next Waypoint 2,Speed,ETA to Next Stop,Status
GJ-01-IF-6588,375A,Chandkheda,Sola,22.953284,72.610954,"22.981989, 72.585533","23.054684, 72.634271",22 km/h,16 mins,Early
GJ-01-SG-8858,376A,Chandkheda,Prahladnagar,23.05214,72.506143,"23.065012, 72.626466","23.087896, 72.623165",47 km/h,7 mins,Traffic
GJ-01-WM-6462,377C,Chandkheda,Chandlodia,23.052211,72.576275,"22.965557, 72.519064","22.973828, 72.625884",60 km/h,11 mins,Traffic
GJ-01-BJ-2006,378,Chandkheda,Jaimangal,22.986125,72.489631,"23.016072, 72.608256","23.035028, 72.474879",48 km/h,9 mins,On Time
GJ-01-VY-3333,379A,Chandkheda,Narol,23.126444,72.643806,"23.133939, 72.484201","23.137801, 72.487929",18 km/h,25 mins,Delayed
GJ-01-OV-5048,380A,Chandkheda,Nikol,23.068557,72.502019,"23.028875, 72.603780","22.951643, 72.473478",17 km/h,7 mins,Traffic
GJ-01-HD-8185,381C,Hanspura,Ghuma,22.961737,72.596526,"23.134520, 72.633420","23.049177, 72.581279",21 km/h,21 mins,Early
GJ-01-WW-9288,382,Hanspura,Maninagar,23.037576,72.523235,"23.093831, 72.607789","23.098086, 72.607067",21 km/h,12 mins,Delayed
GJ-01-LK-0497,383C,Hanspura,Bhadaj,23.074094,72.455385,"23.038874, 72.591775","22.950843, 72.534094",15 km/h,11 mins,Early
GJ-01-RM-3149,384,Hanspura,RTO,23.10203,72.645566,"22.977405, 72.477661","23.125006, 72.564062",45 km/h,10 mins,On Time
GJ-01-YL-9648,385B,Hanspura,LD Engg,23.047543,72.485067,"23.055908, 72.510615","23.089558, 72.611672",38 km/h,21 mins,Early
GJ-01-OE-1586,386A,Hanspura,Vasna,23.13485,72.536264,"23.146285, 72.551653","23.061170, 72.627158",38 km/h,20 mins,Traffic
GJ-01-RR-2195,387C,Hanspura,RTO (C),23.117767,72.552251,"23.108212, 72.540105","23.008880, 72.551618",20 km/h,6 mins,Early
GJ-01-FH-4910,388B,Hanspura,Lal Darwaja,23.015333,72.482789,"23.061599, 72.619501","23.002361, 72.562691",58 km/h,3 mins,Traffic
GJ-01-TY-7864,389,Hanspura,Kalupur,22.965144,72.55603,"23.130827, 72.544734","23.113751, 72.488365",20 km/h,17 mins,Early
GJ-01-HO-6951,390B,Hanspura,Chandkheda,22.987731,72.466105,"23.022947, 72.455946","23.027165, 72.558141",48 km/h,25 mins,Delayed
GJ-01-YX-5320,391C,Hanspura,Gota,23.028522,72.45085,"23.034756, 72.630961","23.147632, 72.501854",38 km/h,3 mins,On Time
GJ-01-RZ-4713,392D,Hanspura,Ranip,23.064299,72.526864,"23.012517, 72.481324","23.050939, 72.554332",45 km/h,17 mins,Early
GJ-01-CE-4518,393D,Hanspura,Sarkhej,23.069693,72.532468,"23.099029, 72.493801","23.000305, 72.546347",35 km/h,19 mins,Early
GJ-01-QO-5934,394D,Hanspura,Iskcon,23.127711,72.535857,"23.040725, 72.580032","22.986287, 72.520983",46 km/h,20 mins,Traffic
GJ-01-MM-0378,395A,Hanspura,Nehrunagar,22.973592,72.527301,"23.071950, 72.601819","23.075843, 72.614307",54 km/h,9 mins,Traffic
GJ-01-LI-8978,396B,Hanspura,Sarangpur,22.953659,72.534119,"23.076679, 72.506904","22.965304, 72.531848",37 km/h,4 mins,Early
GJ-01-AI-0049,397A,Hanspura,Vadaj,22.978136,72.473833,"23.136668, 72.476813","23.111290, 72.502349",58 km/h,23 mins,Delayed
GJ-01-VX-5764,398A,Hanspura,Odhav,23.05059,72.600828,"22.993112, 72.455186","23.116062, 72.574745",60 km/h,7 mins,On Time
GJ-01-TL-7753,399B,Hanspura,Sarthi,22.967199,72.520599,"22.975691, 72.627218","23.127894, 72.534538",30 km/h,14 mins,Early
GJ-01-QN-0966,400A,Hanspura,Airport,23.008907,72.623716,"23.071925, 72.504230","23.066354, 72.638956",16 km/h,25 mins,Delayed
GJ-01-JK-7524,401C,Hanspura,Amba Town,23.101476,72.648497,"23.135922, 72.589578","23.093395, 72.454176",43 km/h,19 mins,Early
GJ-01-ZA-4742,402,Hanspura,Dahegam,22.954605,72.494012,"23.036956, 72.498092","23.127043, 72.601457",21 km/h,5 mins,Traffic
GJ-01-OR-8103,403D,Hanspura,Bopal,23.037594,72.622404,"23.095215, 72.491679","22.974690, 72.546831",21 km/h,22 mins,Early
GJ-01-GU-3502,404,Hanspura,Ghatlodia,23.088645,72.640856,"23.133278, 72.452546","22.966055, 72.566543",19 km/h,2 mins,On Time
GJ-01-BU-1951,405,Hanspura,Vaishnodevi,22.967681,72.530753,"23.039578, 72.646586","23.072974, 72.460857",47 km/h,4 mins,Traffic
GJ-01-LA-2051,406B,Hanspura,Science City,22.967974,72.503503,"23.032812, 72.506723","23.112338, 72.583597",49 km/h,8 mins,Traffic
GJ-01-EB-1811,407,Hanspura,Memnagar,23.145586,72.521319,"23.008104, 72.596439","22.970819, 72.457869",53 km/h,6 mins,Early
GJ-01-CB-6670,408,Hanspura,CTM,23.134181,72.504432,"23.120873, 72.535107","22.991095, 72.553662",50 km/h,24 mins,Early
GJ-01-LX-7665,409C,Hanspura,Naroda,23.096536,72.470252,"23.131292, 72.554516","23.112288, 72.602546",57 km/h,24 mins,Delayed
GJ-01-AZ-2945,410D,Hanspura,S. Bopal,23.022885,72.545388,"22.978230, 72.596763","23.095073, 72.469987",15 km/h,4 mins,Delayed
GJ-01-BZ-8244,411C,Hanspura,Sabarmati,23.046479,72.610139,"23.117167, 72.490636","22.997872, 72.485428",55 km/h,17 mins,Traffic
GJ-01-PE-2524,412B,Hanspura,Isanpur,23.091171,72.632572,"23.101400, 72.639957","22.976557, 72.549149",19 km/h,14 mins,Delayed
GJ-01-TQ-3433,413C,Hanspura,Sola,23.07698,72.510247,"23.016904, 72.562019","23.003117, 72.621118",37 km/h,17 mins,On Time
GJ-01-KF-6770,414C,Hanspura,Prahladnagar,23.121603,72.51929,"23.061219, 72.538109","23.063621, 72.476893",55 km/h,6 mins,Delayed
GJ-01-LE-1526,415B,Hanspura,Chandlodia,23.01224,72.585641,"23.041476, 72.537113","22.987026, 72.499701",44 km/h,8 mins,Delayed
GJ-01-KL-7071,416D,Hanspura,Jaimangal,23.095028,72.616501,"23.064962, 72.601006","23.120522, 72.539097",47 km/h,13 mins,Early
GJ-01-BL-9921,417B,Hanspura,Narol,22.983799,72.489051,"22.982389, 72.606571","23.023320, 72.456647",38 km/h,4 mins,Delayed
GJ-01-ZB-3165,418B,Hanspura,Nikol,22.992078,72.492023,"22.952528, 72.522077","22.990112, 72.520982",47 km/h,3 mins,Delayed
GJ-01-FK-1949,419C,Gota,Ghuma,23.035176,72.534141,"22.957373, 72.566854","23.003224, 72.557255",15 km/h,22 mins,Traffic
GJ-01-KS-1429,420C,Gota,Maninagar,23.113255,72.560996,"23.118402, 72.531387","23.018666, 72.588474",31 km/h,5 mins,Traffic
GJ-01-EW-0538,421D,Gota,Bhadaj,23.029701,72.450544,"23.026884, 72.471273","23.146778, 72.545892",17 km/h,6 mins,On Time
GJ-01-NX-8946,422B,Gota,RTO,23.137976,72.494271,"23.009393, 72.606571","23.018358, 72.625894",49 km/h,9 mins,On Time
GJ-01-GU-9431,423B,Gota,LD Engg,23.07596,72.631567,"23.143673, 72.528176","22.980822, 72.450574",39 km/h,15 mins,Traffic
GJ-01-YQ-0868,424C,Gota,Vasna,23.091758,72.631009,"22.974099, 72.623401","23.017564, 72.618962",18 km/h,7 mins,Traffic
GJ-01-ST-5905,425B,Gota,RTO (C),23.078217,72.550041,"22.978074, 72.470251","23.087504, 72.556873",60 km/h,16 mins,Delayed
GJ-01-NP-7238,426A,Gota,Lal Darwaja,22.980008,72.516858,"22.974827, 72.613206","22.960135, 72.525307",55 km/h,23 mins,On Time
GJ-01-ON-0446,427D,Gota,Kalupur,23.098611,72.630825,"23.111932, 72.489165","22.953921, 72.478235",54 km/h,4 mins,On Time
GJ-01-WL-5470,428B,Gota,Chandkheda,23.080607,72.55353,"23.011537, 72.583587","23.091306, 72.535412",58 km/h,10 mins,Delayed
GJ-01-HL-8392,429D,Gota,Hanspura,23.014473,72.540993,"23.090425, 72.556512","22.957479, 72.617071",41 km/h,21 mins,Traffic
GJ-01-WF-8621,430C,Gota,Ranip,22.982802,72.494581,"22.951576, 72.529687","22.992166, 72.647346",38 km/h,13 mins,Delayed
GJ-01-FA-1344,431B,Gota,Sarkhej,22.959519,72.589953,"23.101175, 72.520819","23.069112, 72.577146",60 km/h,18 mins,Traffic
GJ-01-DX-4003,432C,Gota,Iskcon,23.065844,72.634245,"23.044940, 72.616618","23.041550, 72.501414",53 km/h,22 mins,On Time
GJ-01-GX-4835,433B,Gota,Nehrunagar,22.998493,72.587426,"22.962904, 72.598301","22.986548, 72.507600",15 km/h,21 mins,Early
GJ-01-FR-7429,434C,Gota,Sarangpur,22.992499,72.482468,"23.118818, 72.468604","23.038622, 72.615181",36 km/h,8 mins,Traffic
GJ-01-QD-8366,435C,Gota,Vadaj,22.960226,72.491738,"23.001327, 72.630247","23.005632, 72.646662",39 km/h,19 mins,On Time
GJ-01-OY-6932,436C,Gota,Odhav,23.012744,72.516375,"22.953929, 72.474524","23.117257, 72.476644",26 km/h,23 mins,Early
GJ-01-CQ-9851,437A,Gota,Sarthi,23.058852,72.59482,"22.994045, 72.507674","23.014397, 72.630481",22 km/h,4 mins,Delayed
GJ-01-OP-5199,438B,Gota,Airport,23.111195,72.558607,"22.987976, 72.629121","23.109496, 72.512645",26 km/h,2 mins,On Time
GJ-01-SO-5208,439C,Gota,Amba Town,23.130326,72.550939,"23.032991, 72.494602","22.975679, 72.533868",60 km/h,20 mins,Delayed
GJ-01-YX-9257,440D,Gota,Dahegam,23.090467,72.454109,"23.042280, 72.469077","23.100637, 72.495930",24 km/h,12 mins,Early
GJ-01-WB-8160,441,Gota,Bopal,23.021157,72.479767,"23.084442, 72.603461","23.068969, 72.471386",18 km/h,5 mins,Delayed
GJ-01-PW-2869,442B,Gota,Ghatlodia,23.138369,72.462438,"23.112986, 72.561902","22.950422, 72.582342",58 km/h,6 mins,Early
GJ-01-ER-9934,443B,Gota,Vaishnodevi,23.049312,72.53667,"23.011437, 72.545963","23.012684, 72.463415",32 km/h,22 mins,Delayed
GJ-01-RQ-1382,444,Gota,Science City,22.958669,72.486035,"23.109105, 72.585723","22.971004, 72.629305",31 km/h,21 mins,Early
GJ-01-HJ-9970,445B,Gota,Memnagar,23.038106,72.509175,"23.040493, 72.461786","23.117183, 72.612494",22 km/h,22 mins,Delayed
GJ-01-XA-6576,446,Gota,CTM,22.967943,72.630445,"23.138400, 72.510558","23.088601, 72.496760",16 km/h,25 mins,Traffic
GJ-01-WA-4454,447D,Gota,Naroda,23.045996,72.565879,"22.974472, 72.518647","23.048119, 72.513889",32 km/h,8 mins,Delayed
GJ-01-MW-1671,448A,Gota,S. Bopal,23.02759,72.577404,"22.952012, 72.599025","23.050899, 72.634087",56 km/h,4 mins,Early
GJ-01-SP-0317,449B,Gota,Sabarmati,23.139643,72.565368,"23.029086, 72.505261","23.074491, 72.501813",22 km/h,24 mins,Early
GJ-01-GQ-3479,450B,Gota,Isanpur,23.069443,72.571011,"23.146720, 72.464852","22.963009, 72.468979",52 km/h,9 mins,Delayed
GJ-01-DH-1757,451C,Gota,Sola,23.063753,72.64669,"23.029963, 72.557861","23.075497, 72.596131",25 km/h,8 mins,Delayed
GJ-01-YB-6670,452D,Gota,Prahladnagar,22.968299,72.500275,"22.989145, 72.633792","23.103149, 72.484044",44 km/h,22 mins,On Time
GJ-01-NN-0816,453B,Gota,Chandlodia,23.084717,72.628104,"23.122381, 72.517011","23.011002, 72.547822",36 km/h,17 mins,On Time
GJ-01-YE-4717,454,Gota,Jaimangal,23.131021,72.566963,"23.000844, 72.481469","22.987000, 72.632380",54 km/h,14 mins,Traffic
GJ-01-UJ-9780,455D,Gota,Narol,23.048926,72.519782,"23.031153, 72.514002","22.990191, 72.483441",52 km/h,17 mins,Traffic
GJ-01-WH-4615,456A,Gota,Nikol,23.018466,72.569489,"23.010007, 72.589308","23.127020, 72.621008",24 km/h,2 mins,Traffic
GJ-01-NV-8954,457D,Ranip,Ghuma,23.031725,72.589133,"23.013823, 72.604588","23.027535, 72.616903",44 km/h,13 mins,Delayed
GJ-01-DY-8309,458D,Ranip,Maninagar,23.104478,72.545623,"23.019752, 72.645884","23.111132, 72.526118",54 km/h,5 mins,Traffic
GJ-01-WF-8368,459D,Ranip,Bhadaj,23.010235,72.482977,"22.957587, 72.530577","23.003706, 72.540265",54 km/h,10 mins,Traffic
GJ-01-LD-6366,460D,Ranip,RTO,22.951126,72.490836,"23.048428, 72.617994","23.039015, 72.645545",29 km/h,14 mins,On Time
GJ-01-TC-0409,461D,Ranip,LD Engg,23.056534,72.478004,"22.971146, 72.574497","23.011551, 72.555742",18 km/h,20 mins,On Time
GJ-01-SC-2970,462,Ranip,Vasna,23.118071,72.613954,"23.095724, 72.541666","23.035188, 72.593714",34 km/h,3 mins,Traffic
GJ-01-EH-8608,463D,Ranip,RTO (C),23.144318,72.531334,"23.124979, 72.603085","23.094223, 72.522627",30 km/h,11 mins,Early
GJ-01-YQ-5098,464A,Ranip,Lal Darwaja,23.109282,72.622424,"23.099275, 72.525968","23.096552, 72.616896",50 km/h,23 mins,Delayed
GJ-01-LY-6326,465A,Ranip,Kalupur,22.967947,72.5491,"22.997978, 72.593514","23.081972, 72.506318",38 km/h,24 mins,On Time
GJ-01-OR-8239,466B,Ranip,Chandkheda,23.122947,72.49712,"22.982106, 72.497508","23.101756, 72.630466",51 km/h,7 mins,Early
GJ-01-ZJ-1614,467A,Ranip,Hanspura,23.094583,72.630247,"23.082790, 72.635075","22.999612, 72.467480",47 km/h,8 mins,Delayed
GJ-01-SG-9340,468C,Ranip,Gota,22.954031,72.644894,"23.117716, 72.595711","23.007837, 72.541623",20 km/h,17 mins,On Time
GJ-01-RC-8905,469D,Ranip,Sarkhej,22.988879,72.523966,"23.060580, 72.541725","23.095845, 72.521849",30 km/h,5 mins,Delayed
GJ-01-JG-4229,470,Ranip,Iskcon,23.011955,72.57273,"23.148483, 72.596037","23.083180, 72.468727",47 km/h,21 mins,Delayed
GJ-01-QI-1454,471D,Ranip,Nehrunagar,23.061069,72.5295,"23.097306, 72.496959","23.117724, 72.509687",58 km/h,22 mins,On Time
GJ-01-UA-1400,472C,Ranip,Sarangpur,23.142268,72.622362,"23.125306, 72.538520","23.117624, 72.486199",18 km/h,21 mins,On Time
GJ-01-SN-2299,473A,Ranip,Vadaj,23.003205,72.463941,"23.032207, 72.542802","23.010883, 72.567415",24 km/h,4 mins,Delayed
GJ-01-VL-7241,474A,Ranip,Odhav,23.11031,72.602709,"22.954392, 72.595870","22.964270, 72.551786",41 km/h,5 mins,Delayed
GJ-01-PG-4919,475B,Ranip,Sarthi,22.973641,72.469711,"23.037815, 72.462958","23.102232, 72.540092",16 km/h,6 mins,Traffic
GJ-01-NP-7384,476,Ranip,Airport,23.062505,72.582793,"23.044582, 72.539446","22.998184, 72.557083",37 km/h,24 mins,Delayed
GJ-01-YI-4407,477A,Ranip,Amba Town,23.079836,72.462205,"23.057788, 72.456654","23.140963, 72.623764",42 km/h,13 mins,On Time
GJ-01-HS-6611,478C,Ranip,Dahegam,23.062309,72.523688,"22.968885, 72.566221","22.968600, 72.639581",50 km/h,9 mins,Early
GJ-01-YS-3506,479D,Ranip,Bopal,23.091456,72.529184,"23.025029, 72.463544","22.956784, 72.512719",29 km/h,15 mins,Early
GJ-01-YA-2267,480,Ranip,Ghatlodia,23.10158,72.480937,"23.081023, 72.462287","23.065296, 72.481478",44 km/h,24 mins,Delayed
GJ-01-QV-2376,481D,Ranip,Vaishnodevi,23.093552,72.64011,"23.062074, 72.575340","23.127376, 72.566694",43 km/h,15 mins,Delayed
GJ-01-XN-7902,482B,Ranip,Science City,23.043579,72.63899,"23.036546, 72.540538","23.031822, 72.567576",44 km/h,21 mins,Early
GJ-01-LS-9349,483C,Ranip,Memnagar,23.056692,72.588021,"23.116146, 72.579177","23.074322, 72.551003",47 km/h,10 mins,Delayed
GJ-01-TU-5966,484C,Ranip,CTM,23.039884,72.533555,"23.143186, 72.603548","23.057750, 72.574293",24 km/h,12 mins,Early
GJ-01-GJ-8163,485A,Ranip,Naroda,23.062576,72.459061,"23.007244, 72.580968","23.019421, 72.512078",28 km/h,16 mins,Early
GJ-01-WZ-6903,486,Ranip,S. Bopal,22.981472,72.569982,"23.138329, 72.598428","23.046033, 72.648480",26 km/h,6 mins,Delayed
GJ-01-XF-0542,487D,Ranip,Sabarmati,23.022646,72.558201,"23.136287, 72.528402","23.020237, 72.516168",30 km/h,18 mins,Traffic
GJ-01-MO-0580,488,Ranip,Isanpur,23.097434,72.638033,"23.019408, 72.611419","23.071103, 72.594595",33 km/h,6 mins,On Time
GJ-01-WZ-3098,489,Ranip,Sola,23.11652,72.468134,"23.137377, 72.507953","23.144331, 72.489087",32 km/h,15 mins,Early
GJ-01-KL-8457,490,Ranip,Prahladnagar,23.019928,72.522957,"23.120771, 72.472474","22.963272, 72.525680",36 km/h,24 mins,On Time
GJ-01-CB-9394,491,Ranip,Chandlodia,22.995889,72.517419,"23.127307, 72.634582","23.096880, 72.634091",26 km/h,16 mins,Delayed
GJ-01-LS-9702,492B,Ranip,Jaimangal,23.091057,72.587304,"22.979809, 72.462718","23.119439, 72.565238",19 km/h,4 mins,Delayed
GJ-01-WG-6124,493A,Ranip,Narol,23.102769,72.517647,"23.014872, 72.541159","23.078672, 72.511858",35 km/h,22 mins,On Time
GJ-01-EL-2442,494A,Ranip,Nikol,23.077878,72.539914,"22.972342, 72.600244","23.097241, 72.481163",42 km/h,22 mins,Early
GJ-01-XF-4907,495D,Sarkhej,Ghuma,23.044515,72.505685,"23.134761, 72.609729","23.116042, 72.575347",37 km/h,7 mins,On Time
GJ-01-NB-4625,496D,Sarkhej,Maninagar,23.074596,72.486479,"22.987780, 72.539727","22.961461, 72.492221",39 km/h,24 mins,Traffic
GJ-01-UU-1914,497B,Sarkhej,Bhadaj,23.127643,72.646883,"23.013936, 72.580029","23.009157, 72.507371",58 km/h,25 mins,On Time
GJ-01-ZJ-0295,498C,Sarkhej,RTO,23.141858,72.638238,"23.032465, 72.646238","23.050346, 72.584203",52 km/h,10 mins,On Time
GJ-01-DR-5839,499D,Sarkhej,LD Engg,23.044902,72.522822,"23.059696, 72.465536","23.088977, 72.577040",38 km/h,11 mins,Early
GJ-01-VN-1677,500C,Sarkhej,Vasna,23.148725,72.643263,"23.143302, 72.577395","23.085620, 72.478132",53 km/h,25 mins,On Time
GJ-01-QO-4174,501A,Sarkhej,RTO (C),23.070851,72.633871,"23.065554, 72.523146","23.095363, 72.600514",44 km/h,14 mins,Early
GJ-01-BQ-1149,502A,Sarkhej,Lal Darwaja,23.148041,72.505675,"22.983015, 72.514106","23.067119, 72.459707",28 km/h,11 mins,Delayed
GJ-01-OA-8327,503B,Sarkhej,Kalupur,22.96346,72.573698,"22.995894, 72.640119","22.977038, 72.611250",39 km/h,7 mins,Delayed
GJ-01-SK-4278,504A,Sarkhej,Chandkheda,22.991103,72.59577,"23.027064, 72.600132","23.070831, 72.485179",44 km/h,25 mins,Early
GJ-01-VO-8899,505A,Sarkhej,Hanspura,22.992759,72.473105,"23.089753, 72.533073","23.104858, 72.612030",22 km/h,6 mins,Delayed
GJ-01-AM-4073,506B,Sarkhej,Gota,22.966944,72.458017,"23.041292, 72.506418","23.141188, 72.532056",17 km/h,5 mins,On Time
GJ-01-LJ-7085,507D,Sarkhej,Ranip,23.037665,72.495151,"23.095094, 72.504481","23.038164, 72.648897",57 km/h,11 mins,Traffic
GJ-01-HR-1800,508D,Sarkhej,Iskcon,23.032494,72.454792,"22.969269, 72.564618","23.037463, 72.618293",23 km/h,25 mins,Traffic
GJ-01-JR-7765,509C,Sarkhej,Nehrunagar,23.011326,72.629689,"23.100146, 72.459739","23.015977, 72.477926",43 km/h,19 mins,Early
GJ-01-XT-9229,510D,Sarkhej,Sarangpur,23.098584,72.486577,"23.093357, 72.547056","23.031856, 72.613471",20 km/h,16 mins,Early
GJ-01-FF-1280,511D,Sarkhej,Vadaj,23.077332,72.619265,"23.012639, 72.576693","23.118145, 72.610411",50 km/h,6 mins,Traffic
GJ-01-OG-8404,512B,Sarkhej,Odhav,23.046739,72.456489,"22.966582, 72.592195","23.042365, 72.580829",50 km/h,22 mins,On Time
GJ-01-NI-3386,513C,Sarkhej,Sarthi,23.048895,72.484075,"23.130792, 72.645155","22.986653, 72.507056",53 km/h,9 mins,Early
GJ-01-GG-7317,514D,Sarkhej,Airport,22.978194,72.524242,"23.139420, 72.612102","23.042878, 72.631405",56 km/h,6 mins,On Time
GJ-01-BA-3715,515D,Sarkhej,Amba Town,22.962432,72.596709,"22.954181, 72.597487","22.980382, 72.502105",26 km/h,11 mins,Traffic
GJ-01-SA-5825,516B,Sarkhej,Dahegam,22.993657,72.566676,"23.072671, 72.575471","23.061407, 72.459203",23 km/h,8 mins,Delayed
GJ-01-ZY-3756,517C,Sarkhej,Bopal,23.033851,72.595675,"23.085009, 72.453397","23.037490, 72.557722",32 km/h,6 mins,Early
GJ-01-HC-7102,518B,Sarkhej,Ghatlodia,23.122735,72.466931,"23.129977, 72.496595","23.118253, 72.637580",18 km/h,14 mins,Traffic
GJ-01-KP-9357,519B,Sarkhej,Vaishnodevi,22.952214,72.623751,"23.077036, 72.627153","23.055507, 72.518383",36 km/h,21 mins,Early
GJ-01-RZ-6748,520C,Sarkhej,Science City,23.041537,72.59652,"22.988738, 72.464382","23.144495, 72.459827",25 km/h,22 mins,On Time
GJ-01-JY-3534,521C,Sarkhej,Memnagar,23.130078,72.570506,"23.032189, 72.614325","23.147524, 72.648979",45 km/h,16 mins,Delayed
GJ-01-RH-7781,522,Sarkhej,CTM,22.953848,72.486967,"23.086555, 72.465049","22.967722, 72.485795",18 km/h,23 mins,Traffic
GJ-01-UH-6959,523B,Sarkhej,Naroda,22.963229,72.508082,"22.994377, 72.627741","22.955286, 72.496449",52 km/h,20 mins,Early
GJ-01-LO-3106,524D,Sarkhej,S. Bopal,22.953842,72.588011,"22.985927, 72.490861","23.074570, 72.598923",48 km/h,15 mins,Early
GJ-01-KI-1634,525C,Sarkhej,Sabarmati,23.088199,72.570589,"22.960755, 72.457075","22.982574, 72.496815",27 km/h,3 mins,Traffic
GJ-01-YV-6658,526,Sarkhej,Isanpur,23.119807,72.647112,"23.140250, 72.628109","23.104439, 72.586746",25 km/h,20 mins,Traffic
GJ-01-BR-0511,527D,Sarkhej,Sola,23.051276,72.570855,"23.063551, 72.514483","23.054685, 72.592637",57 km/h,3 mins,Early
GJ-01-KK-2775,528D,Sarkhej,Prahladnagar,23.07369,72.593853,"23.006044, 72.550774","23.074258, 72.507805",40 km/h,2 mins,On Time
GJ-01-WO-6954,529A,Sarkhej,Chandlodia,23.105718,72.515216,"23.060329, 72.506019","22.960468, 72.457876",37 km/h,6 mins,Delayed
GJ-01-ZK-3264,530D,Sarkhej,Jaimangal,23.007025,72.535151,"22.967490, 72.546934","23.042328, 72.528777",45 km/h,16 mins,Traffic
GJ-01-MP-0465,531D,Sarkhej,Narol,23.047075,72.616804,"23.124044, 72.602924","23.053338, 72.545731",15 km/h,20 mins,Early
GJ-01-FQ-8693,532C,Sarkhej,Nikol,23.046349,72.478445,"23.031766, 72.642016","22.953932, 72.629743",58 km/h,7 mins,Delayed
GJ-01-WT-0688,533A,Iskcon,Ghuma,22.981257,72.493982,"23.128291, 72.547034","23.000480, 72.630382",21 km/h,2 mins,Early
GJ-01-WF-0365,534,Iskcon,Maninagar,23.097771,72.485186,"22.952749, 72.535101","23.149274, 72.515478",33 km/h,2 mins,Delayed
GJ-01-DN-3329,535D,Iskcon,Bhadaj,23.139596,72.585769,"22.968774, 72.585932","22.966174, 72.462325",31 km/h,23 mins,Early
GJ-01-RP-8815,536D,Iskcon,RTO,22.978195,72.519512,"23.026878, 72.521083","22.993187, 72.594171",37 km/h,12 mins,Early
GJ-01-UR-7836,537A,Iskcon,LD Engg,22.950741,72.615859,"23.057099, 72.486100","22.963148, 72.492231",49 km/h,7 mins,On Time
GJ-01-BO-1397,538,Iskcon,Vasna,23.055556,72.457169,"23.014237, 72.570964","23.064188, 72.553618",60 km/h,7 mins,Early
GJ-01-PW-8631,539C,Iskcon,RTO (C),23.024476,72.489227,"23.041961, 72.474676","22.960749, 72.619041",22 km/h,18 mins,Early
GJ-01-CE-6377,540C,Iskcon,Lal Darwaja,23.005954,72.631457,"23.102465, 72.573084","23.039706, 72.593270",52 km/h,8 mins,On Time
GJ-01-PU-7214,541D,Iskcon,Kalupur,23.102066,72.559248,"23.136743, 72.609957","23.123438, 72.572263",45 km/h,7 mins,Delayed
GJ-01-YA-5373,542B,Iskcon,Chandkheda,23.044464,72.621464,"23.067712, 72.509780","23.004051, 72.574467",48 km/h,18 mins,Traffic
GJ-01-YV-1218,543C,Iskcon,Hanspura,23.097296,72.482231,"23.104973, 72.592994","23.056307, 72.615319",41 km/h,9 mins,Traffic
GJ-01-GL-3115,544,Iskcon,Gota,22.962958,72.629094,"23.147024, 72.558190","22.990626, 72.642330",43 km/h,10 mins,Early
GJ-01-LU-5334,545B,Iskcon,Ranip,23.009649,72.613687,"23.140487, 72.594722","22.980451, 72.548899",50 km/h,23 mins,On Time
GJ-01-DZ-5185,546A,Iskcon,Sarkhej,22.98377,72.566202,"23.148502, 72.589269","23.019345, 72.620344",16 km/h,10 mins,Delayed
GJ-01-OT-9314,547D,Iskcon,Nehrunagar,23.103458,72.584482,"23.092211, 72.611197","23.130902, 72.649230",59 km/h,18 mins,Traffic
GJ-01-QA-0861,548A,Iskcon,Sarangpur,23.084201,72.627469,"23.037129, 72.458760","23.001885, 72.599285",60 km/h,23 mins,On Time
GJ-01-MV-4370,549A,Iskcon,Vadaj,22.97583,72.556145,"23.025729, 72.534197","23.060857, 72.562111",31 km/h,17 mins,Delayed
GJ-01-QL-7184,550B,Iskcon,Odhav,23.027948,72.513302,"22.993469, 72.469732","22.955682, 72.522653",35 km/h,7 mins,Early
GJ-01-LW-6300,551C,Iskcon,Sarthi,23.040295,72.541882,"22.980997, 72.523656","23.035133, 72.523978",44 km/h,15 mins,Early
GJ-01-LL-3691,552C,Iskcon,Airport,23.125254,72.629135,"22.953581, 72.471229","22.970725, 72.592339",25 km/h,24 mins,On Time
GJ-01-TX-1879,553C,Iskcon,Amba Town,23.142012,72.63425,"23.148289, 72.554477","23.143600, 72.574595",49 km/h,15 mins,Traffic
GJ-01-QD-3467,554B,Iskcon,Dahegam,23.108345,72.466544,"23.023696, 72.611089","23.080145, 72.535425",28 km/h,19 mins,On Time
GJ-01-JS-9778,555C,Iskcon,Bopal,23.103732,72.63429,"23.145311, 72.492586","23.053332, 72.535748",32 km/h,10 mins,On Time
GJ-01-CQ-3934,556A,Iskcon,Ghatlodia,23.072757,72.507416,"23.062705, 72.635631","23.004392, 72.544091",53 km/h,11 mins,On Time
GJ-01-LF-8552,557A,Iskcon,Vaishnodevi,23.13713,72.613391,"23.110005, 72.640762","23.103551, 72.461637",40 km/h,19 mins,Delayed
GJ-01-YC-1482,558D,Iskcon,Science City,23.145112,72.56207,"23.005380, 72.520240","23.053230, 72.617580",15 km/h,4 mins,Early
GJ-01-RT-3893,559A,Iskcon,Memnagar,23.003564,72.569412,"23.114157, 72.529183","23.067447, 72.642273",60 km/h,5 mins,Traffic
GJ-01-TU-4798,560B,Iskcon,CTM,23.145461,72.473545,"23.083418, 72.596777","22.975537, 72.550097",39 km/h,6 mins,Delayed
